134.02,212.87,-353.02,-0.99572,2.9518,-1.7361,0.5235,2.8612,1789.9,6.6667e-05
142.1,207.59,-354.94,-0.921,2.9419,-1.8123,0.5261,2.8496,1789.9,0.00013333
149.83,200.64,-356.07,-0.8191,2.9285,-1.8951,0.50144,2.8284,1789.9,0.0002
157.75,193.62,-356.76,-0.7206,2.9186,-1.9845,0.56113,2.813,1790.2,0.00026667
165.89,185.73,-357.28,-0.60851,2.9086,-2.0905,0.53907,2.7648,1790.2,0.00033333
173.3,178.78,-357.07,-0.49642,2.9019,-2.1833,0.5274,2.7764,1790.1,0.0004
179.93,171.24,-356.23,-0.40811,2.8953,-2.276,0.54946,2.7475,1788.6,0.00046667
187.36,161.47,-354.29,-0.3232,2.8919,-2.3456,0.5274,2.7456,1790.2,0.00053333
193.57,153.81,-352.38,-0.25866,2.8919,-2.4052,0.53907,2.7128,1790.1,0.0006
200.18,145.09,-350.33,-0.20431,2.8786,-2.4483,0.53453,2.7089,1790.1,0.00066667
205.93,135.68,-346.6,-0.15337,2.8653,-2.4913,0.51053,2.6781,1790.2,0.00073333
211.94,127.01,-344.34,-0.095623,2.8553,-2.5211,0.53907,2.6666,1790.1,0.0008
218.4,118.05,-341.95,-0.037881,2.832,-2.5609,0.53518,2.6415,1790.1,0.00086667
223.78,109.27,-338.77,0.033448,2.8021,-2.6072,0.5274,2.6222,1790.1,0.00093333
230.09,100.43,-335.95,0.10817,2.7821,-2.6569,0.52804,2.5876,1789.9,0.001
235.81,92.268,-333.82,0.1795,2.7455,-2.7,0.54102,2.5644,1790.1,0.0010667
241.63,83.217,-330.11,0.25423,2.7122,-2.7331,0.52804,2.5278,1789.9,0.0011333
246.75,74.485,-326.77,0.31876,2.6789,-2.753,0.52026,2.4932,1789.9,0.0012
251.74,66.182,-323.51,0.36292,2.6423,-2.7629,0.53194,2.4527,1789.9,0.0012667
257.09,57.402,-319.93,0.40707,2.6024,-2.7596,0.53972,2.4084,1790.1,0.0013333
261.72,49.179,-316.65,0.43085,2.5757,-2.7596,0.51182,2.366,1789.3,0.0014
267,40.208,-313.1,0.45123,2.5458,-2.7563,0.53129,2.3198,1789.9,0.0014667
272.16,31.38,-309.26,0.4852,2.5225,-2.7563,0.53259,2.2793,1789.9,0.0015333
277.17,22.489,-305.79,0.51237,2.4859,-2.7629,0.53388,2.233,1790.1,0.0016
282.22,13.597,-301.85,0.56671,2.4526,-2.7795,0.53583,2.1945,1789.9,0.0016667
287.01,4.658,-297.47,0.62106,2.4126,-2.7927,0.54816,2.1502,1789.9,0.0017333
291.56,-4.1698,-293.47,0.6822,2.3827,-2.8093,0.56373,2.1097,1790.2,0.0018
296.11,-13.22,-289,0.73994,2.3328,-2.8225,0.55205,2.0539,1789.8,0.0018667
300.75,-22.398,-284.72,0.80787,2.2695,-2.8259,0.51896,2.0038,1789.8,0.0019333
305.43,-31.401,-280.25,0.86222,2.193,-2.8159,0.52804,1.9402,1789.9,0.002
309.96,-40.324,-275.66,0.92336,2.1364,-2.8126,0.54751,1.8689,1789.9,0.0020667
314.48,-49.2,-271.54,0.97431,2.0665,-2.7927,0.5235,1.7995,1789.8,0.0021333
318.76,-58.075,-266.88,1.0354,2.0066,-2.7828,0.5501,1.7456,1789.9,0.0022
323.06,-66.855,-262.28,1.0864,1.9466,-2.7762,0.53583,1.6627,1790.1,0.0022667
327.03,-75.619,-257.77,1.1475,1.8768,-2.7662,0.52545,1.6049,1791.5,0.0023333
330.54,-83.986,-252.95,1.2223,1.8035,-2.7729,0.57995,1.5182,1790.1,0.0024
333.96,-92.241,-248.19,1.3004,1.7336,-2.7762,0.56568,1.4527,1789.8,0.0024667
337.15,-100.64,-242.77,1.3819,1.6471,-2.7729,0.5527,1.3718,1790.1,0.0025333
340.27,-108.89,-237.48,1.4736,1.5672,-2.7762,0.53907,1.2851,1789.8,0.0026
343.1,-117.26,-231.9,1.5585,1.484,-2.7861,0.51507,1.1965,1789.9,0.0026667
345.8,-126.18,-225.99,1.6468,1.3975,-2.7927,0.52934,1.1117,1789.9,0.0027333
348.5,-134.26,-220.58,1.7419,1.3109,-2.796,0.56178,1.0192,1790.1,0.0028
350.8,-142.55,-214.74,1.8302,1.2244,-2.7894,0.53324,0.93444,1790.1,0.0028667
352.61,-149.87,-208.56,1.9186,1.1378,-2.7795,0.53324,0.85352,1789.9,0.0029333
354.12,-158.59,-202.08,2.0001,1.0313,-2.7729,0.54362,0.74369,1790.1,0.003
356.11,-166.98,-195.18,2.1122,0.91815,-2.7662,0.54167,0.63387,1789.9,0.0030667
356.31,-174.6,-188.3,2.2277,0.81164,-2.7662,0.52091,0.54524,1790.2,0.0031333
356.47,-182,-179.8,2.3465,0.69181,-2.7629,0.51961,0.43542,1789.6,0.0032
355.4,-190.21,-171.38,2.462,0.57865,-2.7695,0.58839,0.32174,1790.4,0.0032667
